,date,top_0
0,2015-07-12,bitcoin the next logical step in the rise of unbanked mobile payments     bitcoin
1,2015-07-13,bitgive foundation announces new initiatives at inside bitcoins chicago    bitcoin
2,2015-07-14,keynote 2015  harnessing the distributed ledger    bitcoin
3,2015-07-15,patrick byrne says   will be able to replace wall street    bitcoin
4,2015-07-16,2015 q1 bitcoin investment trumps 2014 numbers    bitcoin
5,2015-07-17,bitcoin for mom  advice for teaching loved ones the art of cryptocurrency    bitcoin
6,2015-07-18,country of jersey releases new bitcoin regulation framework    bitcoin
7,2015-07-19,gender diversity in bitcoin and tech to benefit from projects such as boardlist    bitcoin
8,2015-07-20,the economic reformation  a new ninety five theses    bitcoin
9,2015-07-21,pro s and con s on bitcoin block pruning    bitcoin
10,2015-07-22,police violence and the urgency for bitcoin in crowdfunding    bitcoin
11,2015-07-23,fintech innovation is not centralized  blockchain technology could be the key to success    bitcoin
12,2015-07-24,the great big block size debate    bitcoin
13,2015-07-25,interview with bitcoin graphic artist phneep    bitcoin
14,2015-07-26,hewlett packard shows interest in bitcoin    bitcoin
15,2015-07-27,fed up with the fed  have some bitcoin     bitcoin
16,2015-07-28,bitmesh  offering internet connectivity in exchange for bitcoin    bitcoin
17,2015-07-29,bitcoin companies could benefit from hacker s list marketplace    bitcoin
18,2015-07-30,buenos aires receives the first bitcoin forum    bitcoin
19,2015-07-31,save lives   earn bitcoin with new ems signpost software    bitcoin
20,2015-08-01,bitcoin  a technological innovation restoring peer to peer interaction during the shopping experience    bitcoin
21,2015-08-02,poloniex leaves new york due to bitlicense    bitcoin
22,2015-08-03,reinvent money conference 2015    bitcoin
23,2015-08-04,bitcoin to benefit from children using high end technology at young age    bitcoin
24,2015-08-05,finance is for lovers    bitcoin
25,2015-08-06,future use cases for blcockhain technology  distributed email services    bitcoin
26,2015-08-07, i realized that bitcoin was a tool   maybe the tool   for freedom  liberty and peace      at    
27,2015-08-08,cryptocurrency constitutes money  regardless of belief    bitcoin
28,2015-08-09,future use cases for blockchain technology  proper decentralized crowdfunding    bitcoin
29,2015-08-10,millennial analysis  bitcoin vs competitors    bitcoin
30,2015-08-11,bitcoin risk assessment  fears of adopting digital currency    bitcoin
31,2015-08-12,dutyfree io  offering discount cigarettes for bitcoin    bitcoin
32,2015-08-13,pricewaterhousecoopers report promotes bitcoin to clients    bitcoin
33,2015-08-14,how cryptocurrency can abolish the fed   part 3  social philosophy  bitcoin neutrality  and the sicilian defense     
34,2015-08-15,remember  bitcoin xt is already available for download via            
35,2015-08-17,  exceeds 4 million users worldwide    
36,2015-08-18,android security  zero day vulnerability  and bitcoin key protection    
37,2015-08-19,review of the bitcoin penny  a commemorative coin    
38,2015-08-20,is technical analysis a suitable tool for bitcoin     
39,2015-08-21,inside bitcoins conference south korea    
40,2015-08-22,direct relief and changetip providing vitamins for women in need    
41,2015-08-23,airbitz  the bitcoin business directory and wallet    
42,2015-08-24,       amp    oppose the freedom brought by the sharing economies of    amp      
43,2015-08-25,the age of disruption  individual anarchism grows alongside peer 2 peer devices    
44,2015-08-26,btcs reports  4 5 million loss for this year s first half    
45,2015-08-27,did you know all of   is open source   help us improve things today at   
46,2015-08-28,stanford university launches bitcoin security education course    
47,2015-08-29,paxful  on boarding new bitcoin buyers    
48,2015-08-30,california shrugs  bill ab 1326 to introduce it s own bitlicense    
49,2015-08-31,merchants create the illusion of discounts  more transparency is needed    
50,2015-09-01,bitcoin developers should lead the charge on technology security    
51,2015-09-02,how bitcoin can help female entrepreneurs around the world    
52,2015-09-03,paypal rolls out new feature  delays bitcoin implementation    
53,2015-09-04,could the ashley madison hack have been prevented with the blockchain     
54,2015-09-05,hollywood to create film about mark karpeles and mt  gox    
55,2015-09-06,the four pillars making up the bitcoin community    
56,2015-09-07,zug  the new crypto and fintech hotspot      
57,2015-09-08,chile  bitcoin s splendid future    
58,2015-09-09,in depth interview with lyn ulbricht  family  activism  and justice    
59,2015-09-10,respected  r bitcoin moderators being removed by theymos    
60,2015-09-11,omni layer  advancing bitcoin to 2 0    
61,2015-09-12,bitcoin group ipo  third time s a charm    
62,2015-09-13,purse io offers plenty of bitcoin arbitrage opportunities    
63,2015-09-14,open letters to ross ulbricht   series 1    
64,2015-09-15,banks could be working on blockchain based digital vault project    
65,2015-09-16,the top 8 reasons why people resist bitcoin    
66,2015-09-17,nine of the world s largest banking giants join forces to make bitcoin technology mainstream     via   com
67,2015-09-18,bitcoin has more value than fiat currency    
68,2015-09-19,bitcoin bank acceptance spotlight  jp morgan chase    
69,2015-09-20,why centralized bitcoin services will end up like paypal    
70,2015-09-21,the great bitcoin halving    
71,2015-09-22,australian banks don t like bitcoin    
72,2015-09-23,circle financial  bitlicense granted  circle pay launch    
73,2015-09-24,factom and the blockchain could have prevented fidelity bank hack    
74,2015-09-25,blockchain time traveling  one man s journey to  prove his existence     
75,2015-09-26,bitcoin bank acceptance spotlight  citi    
76,2015-09-27,bitfury s georgian technology park to create new jobs    
77,2015-09-28,how to invest with binary options    
78,2015-09-29,            please keep us in mind for next time   
79,2015-09-30,big thanks to   for being one of the first to test out our amazing new advertising platform   
80,2015-10-01,an interview with bitproof creator louison dumont    
81,2015-10-02,joystream allows users to sell bandwidth for bitcoin    
82,2015-10-03,emerging from the dark ages  the journey of bitcoin and the blockchain    
83,2015-10-04,the role of blockchain technology in freedom of speech    
84,2015-10-05,bitcoin bank acceptance spotlight  de nederlandsche bank    
